mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.0019290447235107422,0.00013518333435058594,0.0008589029312133789,6.282329559326172e-05,0.003077180271250686,{'clf__C': np.float64(0.003077180271250686)},0.7863367569249924,0.8804388726637531,0.8333878147943727,0.04705105786938035,19
0.0025037527084350586,2.1576881408691406e-05,0.0008499622344970703,1.6927719116210938e-05,0.09565499215943825,{'clf__C': np.float64(0.09565499215943825)},0.8123847829730184,0.7915486029122393,0.8019666929426288,0.01041809003038957,32
0.0022083520889282227,0.00011265277862548828,0.000983595848083496,1.9431114196777344e-05,0.0013726318898045872,{'clf__C': np.float64(0.0013726318898045872)},0.7654160654160655,0.8908008658008659,0.8281084656084657,0.06269240019240019,23
0.0028791427612304688,0.00020599365234375,0.0008769035339355469,4.792213439941406e-05,4.337920697490942,{'clf__C': np.float64(4.337920697490942)},0.598613586848881,0.9153485403485404,0.7569810635987106,0.1583674767498297,52
0.002312898635864258,0.00015091896057128906,0.0010790824890136719,0.00014710426330566406,0.010842262717330166,{'clf__C': np.float64(0.010842262717330166)},0.8368045534712203,0.8409071922229818,0.8388558728471011,0.002051319375880767,14
0.0024385452270507812,0.0001125335693359375,0.0008394718170166016,4.553794860839844e-05,0.4467752817973907,{'clf__C': np.float64(0.4467752817973907)},0.7583333333333333,0.8109375473011837,0.7846354403172585,0.02630210698392521,44
0.0022274255752563477,1.9431114196777344e-05,0.0008380413055419922,5.9604644775390625e-06,0.017654048052495083,{'clf__C': np.float64(0.017654048052495083)},0.8253086419753086,0.8481601731601732,0.836734407567741,0.011425765592432302,16
0.0024236440658569336,2.2530555725097656e-05,0.0009722709655761719,2.5510787963867188e-05,0.12030178871154672,{'clf__C': np.float64(0.12030178871154672)},0.8123847829730184,0.7915486029122393,0.8019666929426288,0.01041809003038957,32
0.0024580955505371094,3.0040740966796875e-05,0.0009489059448242188,1.71661376953125e-05,0.1537592023548176,{'clf__C': np.float64(0.1537592023548176)},0.8075007780890135,0.8130132493768858,0.8102570137329497,0.0027562356439361224,31
0.0022394657135009766,0.00032448768615722656,0.0008774995803833008,2.5391578674316406e-05,0.0054880470007660455,{'clf__C': np.float64(0.0054880470007660455)},0.8192340067340067,0.8804388726637531,0.8498364396988799,0.030602432964873194,1
0.003058314323425293,2.5033950805664062e-06,0.0009270906448364258,3.2067298889160156e-05,7.556810141274429,{'clf__C': np.float64(7.556810141274429)},0.5738781371134313,0.9153485403485404,0.7446133387309859,0.17073520161755457,58
0.0025330781936645508,0.00014197826385498047,0.0008429288864135742,5.7816505432128906e-05,1.2604664585649468,{'clf__C': np.float64(1.2604664585649468)},0.678993234720789,0.8740688604324969,0.7765310475766429,0.09753781285585394,49
0.0028389692306518555,0.00029408931732177734,0.0009138584136962891,6.699562072753906e-05,5.727904470799623,{'clf__C': np.float64(5.727904470799623)},0.593719406954701,0.9153485403485404,0.7545339736516208,0.16081456669691968,55
0.0029305219650268555,0.00023043155670166016,0.0008789300918579102,6.99758529663086e-05,3.7958531426706403,{'clf__C': np.float64(3.7958531426706403)},0.598613586848881,0.9153485403485404,0.7569810635987106,0.1583674767498297,52
0.002507328987121582,2.9802322387695312e-06,0.0009298324584960938,9.989738464355469e-05,0.24637685958997463,{'clf__C': np.float64(0.24637685958997463)},0.7757954463836818,0.8059425423061787,0.7908689943449303,0.015073547961248435,40
0.002642989158630371,0.00021207332611083984,0.0008618831634521484,6.198883056640625e-05,4.869640941520899,{'clf__C': np.float64(4.869640941520899)},0.5958358090711031,0.9153485403485404,0.7555921747098218,0.15975636563871864,54
0.002076864242553711,4.7206878662109375e-05,0.0010294914245605469,7.05718994140625e-05,0.002259279742015696,{'clf__C': np.float64(0.002259279742015696)},0.7773707773707774,0.8878768891926787,0.8326238332817281,0.055253055910950644,20
0.0022455453872680664,7.95125961303711e-05,0.0009125471115112305,2.5391578674316406e-05,0.006080390190296602,{'clf__C': np.float64(0.006080390190296602)},0.8281625781625783,0.865287357512238,0.8467249678374081,0.018562389674829816,4
0.0020040273666381836,0.00011789798736572266,0.0008169412612915039,2.4199485778808594e-05,0.0015167330688076208,{'clf__C': np.float64(0.0015167330688076208)},0.7654160654160655,0.8878768891926787,0.8266464773043721,0.06123041188830658,25
0.001963019371032715,0.00012123584747314453,0.0008144378662109375,4.220008850097656e-05,0.02001342062287998,{'clf__C': np.float64(0.02001342062287998)},0.8253086419753086,0.846183391771627,0.8357460168734678,0.010437374898159213,17
